id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 21:56:30 +0000 2019,227996647,Recibir un -precioso- correo de agradecimiento de una concursada persona f�sica porque le han concedido el benefici� https://t.co/yJ9cRjUHU3,es,None,None,None,1a27537478dd8e38,None,ES,0,12,Mierda,41.3851,2.1734,3,NEG,0.476
Tue Feb 19 21:55:17 +0000 2019,4832718563,"No tengo adjetivos calificativos, no me salen las palabras no puedo vomitar lo que siento  -  - Mierda de los cojones p� https://t.co/o8FHQvvSUj",es,None,None,None,1a27537478dd8e38,None,ES,0,0,Mierda,41.3851,2.1734,3,NEG,0.007
Tue Feb 19 21:54:32 +0000 2019,254223159,yo no quiero q entre  sofia le volveran hacer da�o y quieren sacarnos el dinero  los sofistas por q no vta nadie ala mierda #GHDUODBT6,es,None,None,None,1a27537478dd8e38,None,ES,0,0,Mierda,41.3851,2.1734,3,NEG,0.055
Tue Feb 19 21:51:28 +0000 2019,4241683342,QUE MIERDA DE PARTIDO!,es,None,None,None,1a27537478dd8e38,None,ES,0,0,Mierda,41.3851,2.1734,3,NEG,0.096
Tue Feb 19 21:33:24 +0000 2019,1344989054,Que mierda es esta?? #GHD�OL�mite6,es,None,None,None,1a27537478dd8e38,None,ES,0,2,Mierda,41.3851,2.1734,3,NEG,0.049
Tue Feb 19 21:26:02 +0000 2019,4832718563,Le hemos renovado un a�o m�s ajjajajajaj cambios programados sin importar como vaya el partido y el desempe�o del j� https://t.co/dMB1S8JiOE,es,None,None,None,1a27537478dd8e38,None,ES,0,0,Mierda,41.3851,2.1734,3,NEG,0.165
Tue Feb 19 20:38:15 +0000 2019,168632354,"Suarez esta en la mierda, ojala me calle la boca, pero lleva asi muchos partidos",es,None,None,None,1a27537478dd8e38,None,ES,0,0,Mierda,41.3851,2.1734,3,POS,0.503
Tue Feb 19 20:33:44 +0000 2019,922457652881510400,@elcundelosmorta @Esquerra_ERC @KRLS Cada vez se esfuerzan menos en hacer trolls de mierda.,es,None,None,None,1a27537478dd8e38,None,ES,0,0,Mierda,41.3851,2.1734,3,NEG,0.061
Sat Feb 16 20:18:12 +0000 2019,18754676,La venganza es un plato que sabe a mierda. en Republica De Catalunya https://t.co/LH23SWpJjm,es,Point,41.3778337,2.1553307,1a27537478dd8e38,None,ES,0,0,Mierda,41.380209,2.173997,2,NEG,0.072
