id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 21:14:44 +0000 2019,3074657938,@VictorVallejoGz @XavierSalvat1 Si per� �s molt trist que gran part de l��esquerra� no defensi una presos pol�tics� https://t.co/mrtEkjSqrJ,ca,None,None,None,1a27537478dd8e38,None,ES,0,1,butxaca,41.3851,2.1734,3,NEG,0.017
Sun Feb 17 09:33:54 +0000 2019,615567253,"@oriolcoto Volen seguir junts. Nom�s estan en moments puntuals, per compartir informaci� sense que ning� els vegi (� https://t.co/vQHEG3OtAR",ca,None,None,None,1a27537478dd8e38,None,ES,0,0,butxaca,41.3851,2.1734,3,NEG,0.027
Sat Feb 16 09:53:56 +0000 2019,851865767834513408,"@lluisgibert @PrimariesCat un sol punt al programa,  la restituci� del Govern legitim i la implantaci� del 1.O , po� https://t.co/b0A1QGjAI2",ca,None,None,None,1a27537478dd8e38,None,ES,1,4,butxaca,41.3851,2.1734,3,POS,0.512
Sun Feb 10 10:09:24 +0000 2019,1218494995,"Mitja a la butxaca :) #objectiumaratoBordeaux @ Barcelona, Spain https://t.co/QtC1e42pHz",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,6,butxaca,41.395144,2.186671,2,NEG,0.291
Sun Feb 10 10:09:24 +0000 2019,1218494995,"Mitja a la butxaca :) #objectiumaratoBordeaux @ Barcelona, Spain https://t.co/QtC1e42pHz",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,6,butxaca,41.380209,2.173997,2,NEG,0.291
