id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 16:00:35 +0000 2019,883617402466050048,@eldiarioes Devoved todo lo que hab�is robado chorizos!.Quer�is volver para continuar robando no?Pues os jod�is!.,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robado,41.3851,2.1734,3,NEG,0.154
Tue Feb 19 14:19:39 +0000 2019,2262282268,"Lo que han de devolver es todo el dinero robado, que es muchisimo. https://t.co/Q8Ex2YGIQe",es,None,None,None,1a27537478dd8e38,None,ES,0,0,robado,41.3851,2.1734,3,NEG,0.054
Tue Feb 19 06:12:17 +0000 2019,1451723132,@JonInarritu Lo que han de devolver es la pasta que han robado a mansalva y a nosotros que nos dejen en paz,es,None,None,None,1a27537478dd8e38,None,ES,1,3,robado,41.3851,2.1734,3,NEG,0.064
Tue Feb 19 00:38:34 +0000 2019,832269378670428160,"Pero quiz�s Espa�a nunca despierte,hay muchos k a�n creen k Aznar y el PP han salvado a Espa�a , y realmente no sol� https://t.co/lQeBLmdKwr",es,None,None,None,1a27537478dd8e38,None,ES,0,0,robado,41.3851,2.1734,3,NEG,0.482
Mon Feb 18 21:38:25 +0000 2019,2262282268,"Lo que teneis que hacer es devolver  todo lo que habeis robado, TODO!!! https://t.co/IdwPlNKqvg",es,None,None,None,1a27537478dd8e38,None,ES,0,0,robado,41.3851,2.1734,3,NEG,0.098
Mon Feb 18 13:08:27 +0000 2019,288992122,"@joseleana5461 Y con todo lo apalancao en los 40 a�os de dictadura, que fue mayormente robado, bajo la falsedad de� https://t.co/Vg2sJgHEzI",es,None,None,None,1a27537478dd8e38,None,ES,0,0,robado,41.3851,2.1734,3,NEG,0.125
Mon Feb 18 08:14:22 +0000 2019,913910902528847874,"@PauSMM_ @badocheroquee Le espera un lugar destacado junto a Soraya, Susana D�az y Mariano R., como destructores de� https://t.co/OJhZt5NsCb",es,None,None,None,1a27537478dd8e38,None,ES,2,1,robado,41.3851,2.1734,3,NEG,0.244
