id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 11:50:11 +0000 2019,774127928,#Mediaset se hace fuerte en #Bolsa y reta a los bajistas https://t.co/Oj27tf6kTW https://t.co/kuEQeIVMaP,es,None,None,None,1a27537478dd8e38,None,ES,0,2,bolsa,41.3851,2.1734,3,NEG,0.477
Sun Feb 17 08:29:41 +0000 2019,265754525,Xavi Crespo: - Hist�ricamente el d�a de los presidentes que est� cerrada la bolsa americana supone uno de los patrone� https://t.co/EOU8TaBRjG,es,None,None,None,1a27537478dd8e38,None,ES,1,3,bolsa,41.3851,2.1734,3,NEG,0.149
Sun Feb 17 08:28:00 +0000 2019,265754525,Xavi Crespo: - Hist�ricamente el d�a de los presidentes que est� cerrada la bolsa americana supone uno de los patrone� https://t.co/CGxBg6ilWN,es,None,None,None,1a27537478dd8e38,None,ES,0,5,bolsa,41.3851,2.1734,3,NEG,0.149
Thu Feb 14 15:23:34 +0000 2019,922457652881510400,@GorkaKB Un t�o con suerte al cual que le toc� un t�tulo de Juez en una bolsa de pipas.,es,None,None,None,1a27537478dd8e38,None,ES,2,7,bolsa,41.3851,2.1734,3,NEG,0.091
Tue Feb 12 19:15:01 +0000 2019,566010160,Hay que poner mucha cabeza a la hora de operar en Bolsa. Y no hablo s�lo de conocimientos y de saber una buena t�cn� https://t.co/ErFpyxyFw2,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,bolsa,41.395144,2.186671,2,NEG,0.323
Tue Feb 12 19:15:01 +0000 2019,566010160,Hay que poner mucha cabeza a la hora de operar en Bolsa. Y no hablo s�lo de conocimientos y de saber una buena t�cn� https://t.co/ErFpyxyFw2,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,bolsa,41.380209,2.173997,2,NEG,0.323
