id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Sun Feb 17 22:10:38 +0000 2019,75676226,He robat la foto... ahir a @MassiveAttackUK  !  #Fant�sticsComSempre #SouElMeuMoment https://t.co/EbcwwRlD5b,es,None,None,None,1a27537478dd8e38,None,ES,3,4,robat,41.3851,2.1734,3,NEG,0.102
Fri Feb 15 22:19:17 +0000 2019,1524921974,@ivanlabanda Toqueu la fibra.Pateixo pels presos pol�tics i les condicions en qu� es troben.En els seus fills que e� https://t.co/LPzICYAlJU,ca,None,None,None,1a27537478dd8e38,None,ES,0,0,robat,41.3851,2.1734,3,NEG,0.245
Fri Feb 15 18:46:36 +0000 2019,1613226974,Aquest mapa em t� el cor robat https://t.co/QJmhrBi11Z,ca,None,None,None,1a27537478dd8e38,None,ES,1,1,robat,41.3851,2.1734,3,NEG,0.043
Wed Feb 13 17:02:22 +0000 2019,273370751,"@pitudedeu Que tornin l�ho robat!! S�han portan tot i no torna r�s!! Ax� an�m de malament, sanitat, rodalies etc",ca,None,None,None,1a27537478dd8e38,None,ES,0,0,robat,41.3851,2.1734,3,NEG,0.213
