id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Mon Feb 18 14:07:53 +0000 2019,913910902528847874,@Dumacbcn @Esquerra_ERC @Pdemocratacat Y con Bildu y sus mareas en una gran coalici�n para y por el derecho a decid� https://t.co/gzqPKRUprS,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robada,41.3851,2.1734,3,NEG,0.12
Fri Feb 15 10:58:01 +0000 2019,135964513,@AgentsCivicsBCN @bicicletabcn @bcn_ajuntament @BCN_Mobilitat �Bicis abandonades� �s un eufemisme. El terme correct� https://t.co/1QQWTxB0CY,ca,None,None,None,1a27537478dd8e38,None,ES,0,1,robada,41.3851,2.1734,3,NEG,0.033
Thu Feb 14 13:02:48 +0000 2019,4327304236,@mariadelmarastu @PPopular @pablocasado_ Hay numerosos obst�culos legales   para llevar a los pol�ticos corruptos a� https://t.co/dPgbG0UNzD,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robada,41.3851,2.1734,3,NEG,0.263
Thu Feb 14 13:00:55 +0000 2019,4327304236,@PPopular @pablocasado_ Hay numerosos obst�culos legales para llevar a los pol�ticos corruptos ante la justicia  y� https://t.co/Y8DjhJhgkQ,es,None,None,None,1a27537478dd8e38,None,ES,1,1,robada,41.3851,2.1734,3,NEG,0.2
