id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Mon Feb 11 16:02:58 +0000 2019,2258052116,Hemos ganado el premio love by guests! Gracias al esfuerzo diario de cada una de las personas del Ramblas by Pillow� https://t.co/pcPhmZB9nI,es,Point,41.397985,2.1885017,1a27537478dd8e38,None,ES,0,0,las ramblas,41.395144,2.186671,2,POS,0.582
Sun Feb 10 22:45:28 +0000 2019,170958207,"Saliendo del Liceu por la calle Sant Pau, ensimismado por impresi�n de la obra que acabo de escuchar llegan rumores� https://t.co/v2Of2mGuOv",es,Point,41.38077166,2.17373059,1a27537478dd8e38,None,ES,0,1,las ramblas,41.395144,2.186671,2,POS,0.542
Sun Feb 10 22:45:28 +0000 2019,170958207,"Saliendo del Liceu por la calle Sant Pau, ensimismado por impresi�n de la obra que acabo de escuchar llegan rumores� https://t.co/v2Of2mGuOv",es,Point,41.38077166,2.17373059,1a27537478dd8e38,None,ES,0,1,las ramblas,41.380209,2.173997,2,POS,0.542
Sun Feb 10 12:32:05 +0000 2019,402979000,"Al final de las Ramblas... #barcelona #colon #ramblas en Columbus Monument, Barcelona https://t.co/wMrlk60omv",ca,Point,41.37580278,2.17776111,1a27537478dd8e38,None,ES,0,0,las ramblas,41.380209,2.173997,2,POS,0.973
