CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ADRECA,TELEFON,counter_NEG,counter_POS,nor_counter_NEG,nor_counter_POS
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,434595.6,4588842.8,434503.632,4588641.803,2.215908,41.44668400000001,METRO (L9) - SANTA ROSA-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431877.011,4587111.081,431785.067,4586910.101,2.183562,41.430861,METRO (L1) - FABRA I PUIG (Av. Meridiana)-,9.0,60.0,Sant Andreu,Sant Andreu,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,425722.421,4578414.759,425630.532,4578213.8610000005,2.110976,41.351991,METRO (L1) - BELLVITGE-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,427966.37,4580974.5260000015,427874.461,4580773.603999998,2.137493,41.37525,METRO (L1) - PLAÃ‡A DE SANTS (C. de Sants)-,3.0,18.0,Sants-MontjuÃ¯c,Sants,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432133.399,4583173.868,432041.4520000001,4582972.924,2.187072,41.395422,METRO (L1) - MARINA (C. dels AlmogÃ vers)-,10.0,66.0,Sant MartÃ­,el Parc i la Llacuna del Poblenou,,,28,4,18,82
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,427466.265,4582011.513,427374.361,4581810.582,2.131389,41.384545,METRO (L3) - LES CORTS-,4.0,19.0,Les Corts,les Corts,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432156.149,4585475.755,432064.2020000001,4585274.79,2.187086,41.416156,METRO (L1) - NAVAS-,9.0,63.0,Sant Andreu,Navas,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429947.505,4587003.9339999985,429855.579,4586802.956,2.160483,41.42973,METRO (L5) - HORTA (C. del Tajo)-,7.0,43.0,Horta-GuinardÃ³,Horta,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431058.862,4587864.888,430966.926,4587663.9010000015,2.173684,41.43758,METRO (L4) - LLUCMAJOR (Pg. del Verdum)-,8.0,48.0,Nou Barris,la Guineueta,,,0,0,0,0
K010,Transports i serveis relacionats,TelefÃ¨ric,431527.667,4580590.574,431435.725,4580389.655,2.180119,41.372103,Transbordador del Port - Jaume I-,1.0,1.0,Ciutat Vella,el Raval,,,0,0,0,0
K008,Transports i serveis relacionats,EstaciÃ³ marÃ­tima,431383.692,4579145.6,431291.751,4578944.694,2.178562,41.359077,EstaciÃ³ MarÃ­tima B-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431356.673,4589013.487,431264.735,4588812.49,2.177118,41.44795,METRO (L3) - ROQUETES (Pla dels Cirerers)-,8.0,50.0,Nou Barris,les Roquetes,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431971.468,4589198.073,431879.524,4588997.074,2.184457,41.449665,METRO (L3) - TRINITAT NOVA (Parc/Tamariu)-,8.0,53.0,Nou Barris,la Trinitat Nova,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431946.611,4589181.536,431854.667,4588980.537,2.184161,41.449514,METRO (L3) - TRINITAT NOVA-,8.0,53.0,Nou Barris,la Trinitat Nova,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431349.36,4586210.143,431257.421,4586009.172,2.177349,41.422701,METRO (L4) - MARAGALL (Rda. del GuinardÃ³)-,7.0,35.0,Horta-GuinardÃ³,el GuinardÃ³,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429083.159,4582431.955,428991.24,4582231.018999998,2.150676,41.388476,METRO (L5) - HOSPITAL CLÃNIC (C. del Comte d'Urgell)-,2.0,8.0,Eixample,l'Antiga Esquerra de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428309.349,4581667.4860000005,428217.437,4581466.558,2.141512,41.381522,METRO (L3) - SANTS ESTACIÃ“-,3.0,18.0,Sants-MontjuÃ¯c,Sants,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,426508.429,4581072.177,426416.533,4580871.255,2.1200490000000003,41.375998,METRO (L5) - COLLBLANC-,,,,,,,0,0,0,0
K004,Transports i serveis relacionats,Tren a l'aeroport,430305.812,4582796.969,430213.882,4582596.029,2.1652560000000003,41.39187,Tren AEROPORT - PASSEIG DE GRÃ€CIA-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K003,Transports i serveis relacionats,RENFE,418270.282,4584937.756,418178.463,4584736.8,2.021024,41.410017,RENFE - MOLINS DE REI-,,,,,,,0,0,0,0
K003,Transports i serveis relacionats,RENFE,437366.835,4588726.32,437274.841,4588525.323,2.249093,41.445856,RENFE - BADALONA-,,,,,,,0,0,0,0
K003,Transports i serveis relacionats,RENFE,432218.282,4584773.015,432126.335,4584572.057,2.187908,41.409832,RENFE - CLOT-,10.0,65.0,Sant MartÃ­,el Clot,,,0,0,0,0
K003,Transports i serveis relacionats,RENFE,432343.18,4584819.321,432251.231,4584618.362,2.189397,41.410259,RENFE - CLOT-,10.0,65.0,Sant MartÃ­,el Clot,,,0,0,0,0
K003,Transports i serveis relacionats,RENFE,430578.78,4592725.907,430486.85,4592524.876,2.167379,41.481319,RENFE - MONTCADA I REIXAC-STA. MARIA-,,,,,,,0,0,0,0
K003,Transports i serveis relacionats,RENFE,431703.264,4582951.797,431611.321,4582750.856000002,2.181952,41.393385,RENFE - ARC DE TRIOMF-,2.0,5.0,Eixample,el Fort Pienc,,,28,4,18,82
K003,Transports i serveis relacionats,RENFE,430592.78,4582255.558,430500.847,4582054.623,2.16875,41.387019,RENFE - CATALUNYA-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,424049.42,4579993.648,423957.547,4579792.7360000005,2.090782,41.366055,METRO (L5) - CAN BOIXERES-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,434704.557,4587378.461,434612.588,4587177.478,2.217371,41.433504,METRO (L2) - ARTIGUES-SANT ADRIÃ€-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431570.08700000006,4582761.924,431478.145,4582560.984,2.180381,41.391664,METRO (L1) - ARC DE TRIOMF (Avda. de Vilanova)-,2.0,5.0,Eixample,el Fort Pienc,,,28,4,18,82
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428373.378,4580957.584,428281.465,4580756.662,2.142362,41.375134,METRO (L1) - HOSTAFRANCS (C. del MoianÃ¨s)-,3.0,15.0,Sants-MontjuÃ¯c,Hostafrancs,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430145.976,4584367.4169999985,430054.048,4584166.463,2.163163,41.406001,METRO (L4) - JOANIC (C. de Pi i Margall)-,6.0,32.0,GrÃ cia,el Camp d'en Grassot i GrÃ cia Nova,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,434693.999,4587413.195,434602.03,4587212.211,2.217241,41.433816,METRO (L2) - ARTIGUES-SANT ADRIÃ€-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429014.781,4580976.655,428922.862,4580775.733,2.150029,41.375363,METRO (L3) - ESPANYA (Gv. Corts Catalanes)-,2.0,10.0,Eixample,Sant Antoni,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429989.786,4580949.525,429897.858,4580748.603,2.16169,41.375204,METRO (L3) - POBLE SEC (Av. del Paral.lel)-,2.0,10.0,Eixample,Sant Antoni,,,0,0,0,0
